"Museumsname"	"Standort"	"Lat"	"Long"	"object"	"Hersteller.Künstler"	"Land.Ort"	"Lat_origin"	"Long_origin"
"Stadtmuseum"	"Gütersloh"	"51.90635"	"8.38033"	"printed"	"C. Bertelsmann-Verlag"	"Deutschland"	"51.9166"	"8.3950"
"Stadtmuseum Hilchenbach"	"Hilchenbach"	"50.99681"	"8.11018"	"decorative"	NA	"China"	"50.99681"	"8.11018"
"Stadtmuseum Hilchenbach"	"Hilchenbach"	"50.99681"	"8.11018"	"decorative"	NA	"China"	"50.99681"	"8.11018"
"Stadtmuseum Hilchenbach"	"Hilchenbach"	"50.99681"	"8.11018"	"decorative"	NA	"Deutschland"	"50.99681"	"8.11018"
"Heimatmuseum Hüllhorst"	"Hüllhorst"	"52.27287"	"8.67306"	"domestic"	"Indien"	"Indien"	"28.5635"	"77.1528"
"Heimatmuseum Hüllhorst"	"Hüllhorst"	"52.27287"	"8.67306"	"domestic"	"China (vermutlich)"	"China"	"39.9064"	"116.3913"
"Heimatmuseum Hüllhorst"	"Hüllhorst"	"52.27287"	"8.67306"	"chinesischer Fächer"	"China (vermutlich)"	"China"	"39.9064"	"116.3913"
"Heimatmuseum Hüllhorst"	"Hüllhorst"	"52.27287"	"8.67306"	"2 Papierschildchen mit chinesischer Schrift"	"China"	"China"	"39.9064"	"116.3913"
"Stadtmuseum"	"Iserlohn"	"51.372644"	"7.697221"	"decorative"	"Hanebeck Iserlohn"	"Deutschland"	"51.3878"	"7.6646"
"Stadtmuseum"	"Iserlohn"	"51.372644"	"7.697221"	"decorative"	"Iserlohn (Prym)"	"Deutschland"	"51.3878"	"7.6646"
"Stadtmuseum"	"Iserlohn"	"51.372644"	"7.697221"	"decorative"	"Iserlohn (Prym)"	"Deutschland"	"51.3878"	"7.6646"
"Stadtmuseum"	"Iserlohn"	"51.372644"	"7.697221"	"printed"	"Stephan Witte & Co. Iserlohn"	"Deutschland"	"51.3878"	"7.6646"
"Stadtmuseum"	"Iserlohn"	"51.372644"	"7.697221"	"2 Zierstäbe mit Drachen umwunden 3 Drachenkopf"	"China"	"China"	"39.9064"	"116.3913"
"Stadtmuseum"	"Iserlohn"	"51.372644"	"7.697221"	"3 Schablonen zum Beschriften"	"Hanebeck Iserlohn"	"Deutschland"	"51.3878"	"7.6646"
"Stadtmuseum"	"Iserlohn"	"51.372644"	"7.697221"	"Anhänger"	"China"	"China"	"39.9064"	"116.3913"
"Stadtmuseum"	"Iserlohn"	"51.372644"	"7.697221"	"Anschlagplatte"	"China"	"China"	"39.9064"	"116.3913"
"Stadtmuseum"	"Iserlohn"	"51.372644"	"7.697221"	"decorative"	"China"	"China"	"39.9064"	"116.3913"
"Stadtmuseum"	"Iserlohn"	"51.372644"	"7.697221"	"domestic"	"China"	"China"	"39.9064"	"116.3913"
"Stadtmuseum"	"Iserlohn"	"51.372644"	"7.697221"	"decorative"	"China"	"China"	"39.9064"	"116.3913"
"Stadtmuseum"	"Iserlohn"	"51.372644"	"7.697221"	"domestic"	"Ostindien"	"Indien"	"28.5635"	"77.1528"
"Stadtmuseum"	"Iserlohn"	"51.372644"	"7.697221"	"domestic"	"China"	"China"	"39.9064"	"116.3913"
"Städtisches Museum Haus Letmathe"	"Iserlohn"	"51.36593"	"7.60876"	"decorative"	"China"	"China"	"39.9064"	"116.3913"
"Stadtmuseum"	"Iserlohn"	"51.372644"	"7.697221"	"money"	"China"	"China"	"39.9064"	"116.3913"
"Stadtmuseum"	"Iserlohn"	"51.372644"	"7.697221"	"money"	"China"	"China"	"39.9064"	"116.3913"
"Stadtmuseum"	"Iserlohn"	"51.372644"	"7.697221"	"domestic"	"China"	"China"	"39.9064"	"116.3913"
"Stadtmuseum"	"Iserlohn"	"51.372644"	"7.697221"	"domestic"	"China"	"China"	"39.9064"	"116.3913"
"Stadtmuseum"	"Iserlohn"	"51.372644"	"7.697221"	"domestic"	"China"	"China"	"39.9064"	"116.3913"
"Stadtmuseum"	"Iserlohn"	"51.372644"	"7.697221"	"domestic"	"Indien"	"Indien"	"28.5635"	"77.1528"
"Stadtmuseum"	"Iserlohn"	"51.372644"	"7.697221"	"Glasbordüre"	NA	"Indien"	"28.5635"	"77.1528"
"Stadtmuseum"	"Iserlohn"	"51.372644"	"7.697221"	"domestic"	"Japan"	"Japan"	"35.6897"	"139.6922"
"Stadtmuseum"	"Iserlohn"	"51.372644"	"7.697221"	"furniture"	"China"	"China"	"39.9064"	"116.3913"
"Stadtmuseum"	"Iserlohn"	"51.372644"	"7.697221"	"domestic"	"China"	"China"	"39.9064"	"116.3913"
"Stadtmuseum"	"Iserlohn"	"51.372644"	"7.697221"	"decorative"	NA	"Indien"	"28.5635"	"77.1528"
"Stadtmuseum"	"Iserlohn"	"51.372644"	"7.697221"	"domestic"	"China"	"China"	"39.9064"	"116.3913"
"Stadtmuseum"	"Iserlohn"	"51.372644"	"7.697221"	"domestic"	"Japan"	"Japan"	"35.6897"	"139.6922"
"Stadtmuseum"	"Iserlohn"	"51.372644"	"7.697221"	"domestic"	"China"	"China"	"39.9064"	"116.3913"
"Stadtmuseum"	"Iserlohn"	"51.372644"	"7.697221"	"decorative"	"China"	"China"	"39.9064"	"116.3913"
"Stadtmuseum"	"Iserlohn"	"51.372644"	"7.697221"	"domestic"	"Indien"	"Indien"	"28.5635"	"77.1528"
"Stadtmuseum"	"Iserlohn"	"51.372644"	"7.697221"	"domestic"	"China"	"China"	"39.9064"	"116.3913"
"Stadtmuseum"	"Iserlohn"	"51.372644"	"7.697221"	"domestic"	"China"	"China"	"39.9064"	"116.3913"
"Stadtmuseum"	"Iserlohn"	"51.372644"	"7.697221"	"decorative"	"China"	"China"	"39.9064"	"116.3913"
"Stadtmuseum"	"Iserlohn"	"51.372644"	"7.697221"	"decorative"	"China"	"China"	"39.9064"	"116.3913"
"Stadtmuseum"	"Iserlohn"	"51.372644"	"7.697221"	"decorative"	"China"	"China"	"39.9064"	"116.3913"
"Städtisches Museum Haus Letmathe"	"Iserlohn"	"51.36593"	"7.60876"	"decorative"	"China (vermutlich)"	"China"	"39.9064"	"116.3913"
"Städtisches Museum Haus Letmathe"	"Iserlohn"	"51.36593"	"7.60876"	"weaponry"	"Afrika"	"Afrika"	"0.876"	"17.232"
"Städtisches Museum Haus Letmathe"	"Iserlohn"	"51.36593"	"7.60876"	"weaponry"	"Afrika"	"Afrika"	"0.876"	"17.232"
"Städtisches Museum Haus Letmathe"	"Iserlohn"	"51.36593"	"7.60876"	"weaponry"	"Afrika"	"Afrika"	"0.876"	"17.232"
"Stadtmuseum"	"Iserlohn"	"51.372644"	"7.697221"	"Leuchter"	"Indien"	"Indien"	"28.5635"	"77.1528"
"Stadtmuseum"	"Iserlohn"	"51.372644"	"7.697221"	"weaponry"	"China"	"China"	"39.9064"	"116.3913"
"Stadtmuseum"	"Iserlohn"	"51.372644"	"7.697221"	"Nadelbrief"	"Fa. Gerhard Weyland"	"Deutschland"	"51.3878"	"7.6646"
"Stadtmuseum"	"Iserlohn"	"51.372644"	"7.697221"	"Nadelbrief - Etiketten"	"Carl Wolters & Co."	"Deutschland"	"51.3878"	"7.6646"
"Stadtmuseum"	"Iserlohn"	"51.372644"	"7.697221"	"Nadelbriefe"	"Iserlohn (Prym)"	"Deutschland"	"51.3878"	"7.6646"
"Stadtmuseum"	"Iserlohn"	"51.372644"	"7.697221"	"printed"	"Iserlohn (Prym)"	"Deutschland"	"51.3878"	"7.6646"
"Stadtmuseum"	"Iserlohn"	"51.372644"	"7.697221"	"printed"	NA	"Deutschland"	"51.3878"	"7.6646"
"Stadtmuseum"	"Iserlohn"	"51.372644"	"7.697221"	"printed"	"Iserlohn (Prym)"	"Deutschland"	"51.3878"	"7.6646"
"Stadtmuseum"	"Iserlohn"	"51.372644"	"7.697221"	"Nadelpäckchen (Briefe)"	"Iserlohn (Friedr. Hanebeck )"	"Deutschland"	"51.3878"	"7.6646"
"Stadtmuseum"	"Iserlohn"	"51.372644"	"7.697221"	"Nadelpäckchen (Briefe)"	"Iserlohn (Friedr. Hanebeck )"	"Deutschland"	"51.3878"	"7.6646"
"Stadtmuseum"	"Iserlohn"	"51.372644"	"7.697221"	"Nadelpäckchen (Briefe)"	"Iserlohn (Prym)"	"Deutschland"	"51.3878"	"7.6646"
"Stadtmuseum"	"Iserlohn"	"51.372644"	"7.697221"	"Nadelpäckchen (Briefe)"	"Iserlohn (Prym)"	"Deutschland"	"51.3878"	"7.6646"
"Stadtmuseum"	"Iserlohn"	"51.372644"	"7.697221"	"Nadelpäckchen (Briefe)"	"Aachen (? C. Hargen & Co.)"	"Deutschland"	"51.3878"	"7.6646"
"Stadtmuseum"	"Iserlohn"	"51.372644"	"7.697221"	"Nadelpäckchen (Briefe)"	"Iserlohn (Prym)"	"Deutschland"	"51.3878"	"7.6646"
"Stadtmuseum"	"Iserlohn"	"51.372644"	"7.697221"	"Nadelpäckchen (Briefe)"	"Iserlohn (C. Schwanemeyer)"	"Deutschland"	"51.3878"	"7.6646"
"Stadtmuseum"	"Iserlohn"	"51.372644"	"7.697221"	"Nadelpäckchen (Briefe)"	"Iserlohn (C. Schwanemeyer)"	"Deutschland"	"51.3878"	"7.6646"
"Stadtmuseum"	"Iserlohn"	"51.372644"	"7.697221"	"Nadelpäckchen (Briefe)"	"Iserlohn (C. Schwanemeyer)"	"Deutschland"	"51.3878"	"7.6646"
"Stadtmuseum"	"Iserlohn"	"51.372644"	"7.697221"	"Nadelpäckchen (Briefe)"	"Iserlohn (C. Schwanemeyer)"	"Deutschland"	"51.3878"	"7.6646"
"Stadtmuseum"	"Iserlohn"	"51.372644"	"7.697221"	"Nadelpäckchen (Briefe)"	"Iserlohn (C. Schwanemeyer)"	"Deutschland"	"51.3878"	"7.6646"
"Stadtmuseum"	"Iserlohn"	"51.372644"	"7.697221"	"decorative"	"Haiti"	"Haiti"	"18.5219"	"-72.3510"
"Stadtmuseum"	"Iserlohn"	"51.372644"	"7.697221"	"decorative"	"Haiti"	"Haiti"	"18.5219"	"-72.3510"
"Stadtmuseum"	"Iserlohn"	"51.372644"	"7.697221"	"furniture"	"Indien"	"Indien"	"28.5635"	"77.1528"
"Stadtmuseum"	"Iserlohn"	"51.372644"	"7.697221"	"furniture"	"China"	"China"	"39.9064"	"116.3913"
"Stadtmuseum"	"Iserlohn"	"51.372644"	"7.697221"	"smoking"	"China"	"China"	"39.9064"	"116.3913"
"Stadtmuseum"	"Iserlohn"	"51.372644"	"7.697221"	"clothing"	"China"	"China"	"39.9064"	"116.3913"
"Stadtmuseum"	"Iserlohn"	"51.372644"	"7.697221"	"Packpapier für Nadelbriefe in Weißblechdosen"	"Iserlohn (C. Schwanemeyer)"	"Deutschland"	"51.37237"	"7.69740"
"Stadtmuseum"	"Iserlohn"	"51.372644"	"7.697221"	"decorative"	"China"	"China"	"39.9064"	"116.3913"
"Stadtmuseum"	"Iserlohn"	"51.372644"	"7.697221"	"decorative"	"China"	"China"	"39.9064"	"116.3913"
"Stadtmuseum"	"Iserlohn"	"51.372644"	"7.697221"	"decorative"	"China"	"China"	"39.9064"	"116.3913"
"Stadtmuseum"	"Iserlohn"	"51.372644"	"7.697221"	"printed"	NA	"China"	"39.9064"	"116.3913"
"Stadtmuseum"	"Iserlohn"	"51.372644"	"7.697221"	"domestic"	"China"	"China"	"39.9064"	"116.3913"
"Stadtmuseum"	"Iserlohn"	"51.372644"	"7.697221"	"domestic"	"Japan"	"Japan"	"35.6897"	"139.6922"
"Stadtmuseum"	"Iserlohn"	"51.372644"	"7.697221"	"domestic"	"China"	"China"	"39.9064"	"116.3913"
"Stadtmuseum"	"Iserlohn"	"51.372644"	"7.697221"	"domestic"	"China"	"China"	"39.9064"	"116.3913"
"Stadtmuseum"	"Iserlohn"	"51.372644"	"7.697221"	"domestic"	"China"	"China"	"39.9064"	"116.3913"
"Stadtmuseum"	"Iserlohn"	"51.372644"	"7.697221"	"domestic"	"Japan"	"Japan"	"35.6897"	"139.6922"
"Stadtmuseum"	"Iserlohn"	"51.372644"	"7.697221"	"decorative"	"China"	"China"	"39.9064"	"116.3913"
"Stadtmuseum"	"Iserlohn"	"51.372644"	"7.697221"	"decorative"	"China"	"China"	"39.9064"	"116.3913"
"Stadtmuseum"	"Iserlohn"	"51.372644"	"7.697221"	"furniture"	"China or Japan"	"Asien"	"42.52"	"122.61"
"Stadtmuseum"	"Iserlohn"	"51.372644"	"7.697221"	"Stabkappen"	"China (Gtbirt - Hersteller)"	"China"	"39.9064"	"116.3913"
"Stadtmuseum"	"Iserlohn"	"51.372644"	"7.697221"	"furniture"	"Indien"	"Indien"	"28.5635"	"77.1528"
"Stadtmuseum"	"Iserlohn"	"51.372644"	"7.697221"	"decorative"	NA	"China"	"42.52"	"122.61"
"Stadtmuseum"	"Iserlohn"	"51.372644"	"7.697221"	"domestic"	"China"	"China"	"39.9064"	"116.3913"
"Stadtmuseum"	"Iserlohn"	"51.372644"	"7.697221"	"decorative"	"China"	"China"	"39.9064"	"116.3913"
"Stadtmuseum"	"Iserlohn"	"51.372644"	"7.697221"	"domestic"	"Japan"	"Japan"	"35.6897"	"139.6922"
"Stadtmuseum"	"Iserlohn"	"51.372644"	"7.697221"	"decorative"	"China (Peking)"	"China"	"39.9064"	"116.3913"
"Stadtmuseum"	"Iserlohn"	"51.372644"	"7.697221"	"decorative"	"China"	"China"	"39.9064"	"116.3913"
"Stadtmuseum"	"Iserlohn"	"51.372644"	"7.697221"	"decorative"	"China"	"China"	"39.9064"	"116.3913"
"Stadtmuseum"	"Iserlohn"	"51.372644"	"7.697221"	"domestic"	"China"	"China"	"39.9064"	"116.3913"
"Stadtmuseum"	"Iserlohn"	"51.372644"	"7.697221"	"domestic"	"China"	"China"	"39.9064"	"116.3913"
"Stadtmuseum"	"Iserlohn"	"51.372644"	"7.697221"	"domestic"	"China"	"China"	"39.9064"	"116.3913"
"Stadtmuseum"	"Iserlohn"	"51.372644"	"7.697221"	"decorative"	NA	"China"	"39.9064"	"116.3913"
"Stadtmuseum"	"Iserlohn"	"51.372644"	"7.697221"	"domestic"	"China"	"China"	"39.9064"	"116.3913"
"Stadtmuseum"	"Iserlohn"	"51.372644"	"7.697221"	"decorative"	"China"	"China"	"39.9064"	"116.3913"
"Stadtmuseum"	"Iserlohn"	"51.372644"	"7.697221"	"decorative"	"China"	"China"	"39.9064"	"116.3913"
"Stadtmuseum"	"Iserlohn"	"51.372644"	"7.697221"	"decorative"	"China"	"China"	"39.9064"	"116.3913"
"Stadtmuseum"	"Iserlohn"	"51.372644"	"7.697221"	"domestic"	"Japan"	"Japan"	"35.6897"	"139.6922"
"Stadtmuseum"	"Iserlohn"	"51.372644"	"7.697221"	"domestic"	"China"	"China"	"39.9064"	"116.3913"
"Hexenbürgermeisterhaus"	"Lemgo"	"52.025"	"8.899722"	"Kupferstich"	"gezeichnet von Johannes C. Scheuchzer"	"Deutschland"	"52.0402"	"8.9015"
"Hexenbürgermeisterhaus"	"Lemgo"	"52.025"	"8.899722"	"printed"	"Bielefeld (Eduard Herterich)"	"Deutschland"	"52.0210"	"8.5262"
"Hexenbürgermeisterhaus"	"Lemgo"	"52.025"	"8.899722"	"printed"	NA	"Deutschland"	"52.0402"	"8.9015"
"Hexenbürgermeisterhaus"	"Lemgo"	"52.025"	"8.899722"	"5 Brenneiseneinsätze (groß)"	NA	"Deutschland"	"52.0402"	"8.9015"
"Geschichtsmuseum Stadt Lüdenscheid"	"Lüdenscheid"	"51.213751"	"7.631598"	"money"	NA	"Deutschland"	"52,0402"	"8.9015"
"Städtisches Museum"	"Menden"	"51.43832"	"7.795261"	"Kupferstich"	"Brasilie (Porto Calvo)"	"Brasilie"	"-9.0341"	"-35.4335"
"Städtisches Museum
"	"Menden"	"51.43832"	"7.795261"	"Handstock"	"China"	"China"	"39.9064"	"116.3913"
"Städtisches Museum
"	"Menden"	"51.43832"	"7.795261"	"Handstock"	"China"	"China"	"39.9064"	"116.3913"
"Städtisches Museum
"	"Menden"	"51.43832"	"7.795261"	"Service"	"China"	"China"	"39.9064"	"116.3913"
"Städtisches Museum"	"Menden"	"51.43832"	"7.795261"	"printed"	NA	"Deutschland"	"51.4338"	"7.7941"
"Städtisches Museum"	"Menden"	"51.43832"	"7.795261"	"jewellery"	"Geschenke von Söhnen d. Heimat"	"Ostafrika"	"-6.8766"	"39.4695"
"Städtisches Museum"	"Menden"	"51.43832"	"7.795261"	"music"	"Geschenk von Söhnen d. Heimat"	"Kamerun"	"7.395"	"12.283"
"Städtisches Museum"	"Menden"	"51.43832"	"7.795261"	"music"	"Geschenk von Söhnen d.Heimat"	"Afrika"	"0.876"	"17.232"
"Städtisches Museum"	"Menden"	"51.43832"	"7.795261"	"Stickerei"	NA	"China"	"39.9064"	"116.3913"
"Städtisches Museum"	"Menden"	"51.43832"	"7.795261"	"decorative"	NA	"China"	"39.9064"	"116.3913"
"Städtisches Museum"	"Menden"	"51.43832"	"7.795261"	"Nähkästchen"	NA	"Asien"	"42.52"	"122.61"
"Städtisches Museum"	"Menden"	"51.43832"	"7.795261"	"decorative"	NA	"Asien"	"42.52"	"122.61"
"Städtisches Museum"	"Menden"	"51.43832"	"7.795261"	"decorative"	NA	"Afrika"	"0.876"	"17.232"
"Städtisches Museum"	"Menden"	"51.43832"	"7.795261"	"decorative"	NA	"Afrika"	"0.876"	"17.232"
"Städtisches Museum"	"Menden"	"51.43832"	"7.795261"	"decorative"	NA	"Deutschland"	"52.5173"	"13.3889"
"Städtisches Museum"	"Menden"	"51.43832"	"7.795261"	"domestic"	NA	"Indien"	"28.5635"	"77.1528"
"Städtisches Museum"	"Menden"	"51.43832"	"7.795261"	"printed"	"Pater Ansgar Braun"	"Israel"	"31.7884"	"35.2068"
"Städtisches Museum"	"Menden"	"51.43832"	"7.795261"	"money"	"über Bischof Henninghaus"	"China"	"39.9064"	"116.3913"
"Städtisches Museum"	"Menden"	"51.43832"	"7.795261"	"money"	"über Bischof Henninghaus"	"China"	"39.9064"	"116.3913"
"Städtisches Museum"	"Menden"	"51.43832"	"7.795261"	"money"	"über Bischof Henninghaus"	"China"	"39.9064"	"116.3913"
"Städtisches Museum"	"Menden"	"51.43832"	"7.795261"	"money"	"über Bischof Henninghaus"	"China"	"39.9064"	"116.3913"
"Städtisches Museum"	"Menden"	"51.43832"	"7.795261"	"money"	"über Bischof Henninghaus"	"China"	"39.9064"	"116.3913"
"Städtisches Museum"	"Menden"	"51.43832"	"7.795261"	"decorative"	"über Bischof Henninghaus"	"China"	"39.9064"	"116.3913"
"Städtisches Museum"	"Menden"	"51.43832"	"7.795261"	"domestic"	"über Bischof Henninghaus"	"China"	"39.9064"	"116.3913"
"Städtisches Museum"	"Menden"	"51.43832"	"7.795261"	"domestic"	"über Bischof Henninghaus"	"China"	"39.9064"	"116.3913"
"Städtisches Museum"	"Menden"	"51.43832"	"7.795261"	"printed"	NA	"China"	"39.9064"	"116.3913"
"Städtisches Museum"	"Menden"	"51.43832"	"7.795261"	"money"	"über Bischof Henninghaus"	"China"	"39.9064"	"116.3913"
"Städtisches Museum"	"Menden"	"51.43832"	"7.795261"	"printed"	"über Bischof Henninghaus"	"China"	"39.9064"	"116.3913"
"Städtisches Museum"	"Menden"	"51.43832"	"7.795261"	"printed"	"über Bischof Henninghaus"	"China"	"39.9064"	"116.3913"
"Städtisches Museum"	"Menden"	"51.43832"	"7.795261"	"Zeremoniell f. den chin. Kaiserhof"	NA	"China"	"39.9064"	"116.3913"
"Städtisches Museum"	"Menden"	"51.43832"	"7.795261"	"chin. Federkiel"	NA	"China"	"39.9064"	"116.3913"
"Städtisches Museum"	"Menden"	"51.43832"	"7.795261"	"weaponry"	NA	"China"	"39.9064"	"116.3913"
"Städtisches Museum"	"Menden"	"51.43832"	"7.795261"	"money"	"Canada/ Süd-Afrika"	"Amerika"	"11.625354"	"-31.990883"
"Städtisches Museum"	"Menden"	"51.43832"	"7.795261"	"money"	"USA / Südafrika"	"USA / Südafrika"	"0.563872"	"-29.810865"
"Städtisches Museum"	"Menden"	"51.43832"	"7.795261"	"money"	"für Deutsch-Neuguinea"	"Papua Neuguinea"	"-9.4744"	"147.1600"
"Städtisches Museum"	"Menden"	"51.43832"	"7.795261"	"money"	"für Deutsch-Ostafrika"	"Ostafrika"	"-6.8000"	"39.2833"
"Städtisches Museum"	"Menden"	"51.43832"	"7.795261"	"printed"	"Joh. Matthias Hasio / Homänn. Erben"	"Deutschland"	"52.5173"	"13.3889"
"Museum des Freien Grundes"	"Neunkirchen"	"51.43832"	"7.795261"	"weaponry"	"China"	"China"	"39.9064"	"116.3913"
"Museum des Freien Grundes"	"Neunkirchen"	"51.43832"	"7.795261"	"domestic"	NA	"China"	"39.9064"	"116.3913"
"Museum des Freien Grundes"	"Neunkirchen"	"51.43832"	"7.795261"	"weaponry"	NA	"China"	"39.9064"	"116.3913"
"Museum des freien Grundes"	"Neunkirchen"	"51.43832"	"7.795261"	"Stein"	"Afrika"	"Afrika"	"0.876"	"17.232"
"Museum des freien Grundes"	"Neunkirchen"	"51.43832"	"7.795261"	"printed"	NA	"Deutschland"	"52.5173"	"13.3889"
"Museum des freien Grundes"	"Neunkirchen"	"51.43832"	"7.795261"	"printed"	NA	"Deutschland"	"52.5173"	"13.3889"
"Museum des freien Grundes"	"Neunkirchen"	"51.43832"	"7.795261"	"printed"	NA	"Deutschland"	"51.3409"	"12.3747"
"Museum des freien Grundes"	"Neunkirchen"	"51.43832"	"7.795261"	"printed"	NA	"Deutschland"	"52.5173"	"13.3889"
"Museum des freien Grundes"	"Neunkirchen"	"51.43832"	"7.795261"	"printed"	NA	"Deutschland"	"51.3409"	"12.3747"
"Museum des freien Grundes"	"Neunkirchen"	"51.43832"	"7.795261"	"Beschreibung"	NA	"Deutschland"	"52.5173"	"13.3889"
"Museum des freien Grundes"	"Neunkirchen"	"51.43832"	"7.795261"	"printed"	NA	"Deutschland"	"51.3409"	"12.3747"
"Museum für Stadtgeschichte"	"Paderborn"	"51.71845"	"8.75264"	"domestic"	NA	"China"	"39.9064"	"116.3913"
"Museum für Stadtgeschichte"	"Paderborn"	"51.71845"	"8.75264"	"weaponry"	"Afrika"	"Afrika"	"0.876"	"17.232"
"Museum für Stadtgeschichte"	"Paderborn"	"51.71845"	"8.75264"	"weaponry"	"Afrika"	"Afrika"	"0.876"	"17.232"
"Kunsthalle Recklinghausen"	"Recklinghausen"	"51.61711"	"7.20276"	"decorative"	NA	"China"	"39.9064"	"116.3913"
"Städt. Museum Haus Martfeld"	"Schwelm"	"51.29155"	"7.30840"	"decorative"	NA	"China"	"39.9064"	"116.3913"
"Städt. Museum Haus Martfeld"	"Schwelm"	"51.29155"	"7.30840"	"decorative"	NA	"China"	"39.9064"	"116.3913"
"Städt. Museum Haus Martfeld"	"Schwelm"	"51.29155"	"7.30840"	"decorative"	NA	"China"	"39.9064"	"116.3913"
"Städt. Museum Haus Martfeld"	"Schwelm"	"51.29155"	"7.30840"	"decorative"	NA	"China"	"39.9064"	"116.3913"
"Städt. Museum Haus Martfeld"	"Schwelm"	"51.29155"	"7.30840"	"domestic"	NA	"China"	"39.9064"	"116.3913"
"Städt. Museum Haus Martfeld"	"Schwelm"	"51.29155"	"7.30840"	"domestic"	NA	"China"	"39.9064"	"116.3913"
